Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-03-06,462.5,472.70001220703125,462.1000061035156,470.79998779296875,4036291,0,0
2017-03-07,469.5,475.8999938964844,466.04998779296875,467.54998779296875,7114541,0,0
2017-03-08,469.3999938964844,469.6000061035156,461.1499938964844,462.79998779296875,5351597,0,0
2017-03-09,462.45001220703125,469.70001220703125,462.0,467.6000061035156,3837624,0,0
2017-03-10,471.0,471.8500061035156,465.1000061035156,469.1000061035156,5766815,0,0
2017-03-14,481.0,483.0,468.45001220703125,469.75,6348198,0,0
2017-03-15,475.0,476.54998779296875,470.6499938964844,473.45001220703125,4801312,0,0
2017-03-16,478.70001220703125,482.0,476.1499938964844,480.95001220703125,6272947,0,0
2017-03-17,481.3500061035156,484.20001220703125,471.70001220703125,476.5,6338248,0,0
2017-03-20,476.54998779296875,478.20001220703125,470.75,476.0,2871104,0,0
2017-03-21,478.0,478.04998779296875,470.6499938964844,473.75,4685410,0,0
2017-03-22,469.95001220703125,469.95001220703125,458.5,459.8999938964844,4695648,0,0
2017-03-23,461.29998779296875,477.0,461.29998779296875,472.8999938964844,8665384,0,0
2017-03-24,470.75,474.79998779296875,467.54998779296875,470.3999938964844,4296510,0,0
2017-03-27,469.0,469.1499938964844,462.1000061035156,464.75,4417413,0,0
2017-03-28,467.5,473.0,467.5,472.3999938964844,2982614,0,0
2017-03-29,474.8999938964844,475.0,463.6000061035156,469.04998779296875,6680569,0,0
2017-03-30,463.5,469.79998779296875,462.8500061035156,468.3999938964844,9482785,0,0
2017-03-31,466.5,472.5,464.5,465.8500061035156,6400088,0,0
2017-04-03,468.25,472.29998779296875,467.6000061035156,470.3999938964844,2951896,0,0
2017-04-05,470.3999938964844,475.0,467.25,473.5,5287168,0,0
2017-04-06,474.29998779296875,478.5,470.6000061035156,473.20001220703125,6703078,0,0
2017-04-07,468.45001220703125,480.54998779296875,466.6499938964844,468.29998779296875,8089461,0,0
2017-04-10,471.6499938964844,478.29998779296875,467.54998779296875,474.8999938964844,5437523,0,0
2017-04-11,477.8999938964844,478.3500061035156,471.1000061035156,472.25,4887918,0,0
2017-04-12,468.70001220703125,471.54998779296875,461.6000061035156,464.54998779296875,5991598,0,0
2017-04-13,461.8500061035156,463.3500061035156,451.20001220703125,453.3500061035156,5930185,0,0
2017-04-17,452.0,455.70001220703125,447.29998779296875,449.20001220703125,4913930,0,0
2017-04-18,452.0,455.75,442.5,443.70001220703125,4235130,0,0
2017-04-19,443.0,449.5,438.29998779296875,443.04998779296875,6319332,0,0
2017-04-20,447.8500061035156,447.8500061035156,442.1000061035156,443.95001220703125,3288900,0,0
2017-04-21,446.75,448.45001220703125,437.6000061035156,440.6000061035156,5325590,0,0
2017-04-24,439.79998779296875,449.0,438.75,443.8500061035156,6214069,0,0
2017-04-25,445.8500061035156,447.75,443.29998779296875,445.6499938964844,5894090,0,0
2017-04-26,446.0,454.3999938964844,445.5,450.79998779296875,8438042,0,0
2017-04-27,455.0,460.8999938964844,452.70001220703125,455.3500061035156,10589249,0,0
2017-04-28,457.1000061035156,462.0,454.3999938964844,458.8999938964844,5126904,0,0
2017-05-02,456.6000061035156,457.20001220703125,448.54998779296875,451.25,6071958,0,0
2017-05-03,451.3500061035156,456.0,444.6499938964844,446.6000061035156,5158586,0,0
2017-05-04,446.6499938964844,448.1000061035156,435.1499938964844,436.5,6204022,0,0
2017-05-05,436.5,436.5,418.0,419.6000061035156,9487539,0,0
2017-05-08,424.75,428.70001220703125,417.25,422.6499938964844,7427873,0,0
